Job Title,Salary,Salary in USD,Starting Year
Data Engineer,,210000,2023
Data Engineer,165000,165000,2023
Data Engineer,185900,,2023
Data Engineer,129300,129300,2023
Data Scientist,140000,140000,
Data Scientist,126000,126000,2023
Data Scientist,170000,170000,2023
Data Scientist,130000,130000,2023
Data Engineer,,104584,2023
Data Engineer,75000,92280,2023
Analytics Engineer,208500,,2023
Analytics Engineer,165000,165000,2023
Data Engineer,72000,77737,
Data Engineer,80000,86374,2023
Business Intelligence Developer,169000,,2023
Business Intelligence Developer,,110600,
Data Scientist,185900,185900,2023
Data Scientist,129300,,2023
Data Scientist,225000,,2023
